10000 30000
5244 1756 42
4739 9110 4
2549 8251 95
5200 895 79
2477 2582 81
3810 3549 89
9366 7606 87
8461 5890 90
6302 1785 100
3909 4556 47
4205 1670 3
5673 6657 57
190 9910 52
412 2683 25
6439 7025 42
6673 259 11
2630 990 8
2341 2044 95
9761 7069 2
7247 4654 50
5950 7383 72
1888 907 8
8166 1171 69
5773 1428 62
326 69 30
816 725 30
6482 1490 6
8093 9179 37
389 5384 32
281 1694 36
226 2265 22
6476 1276 39
6665 4064 23
9666 6019 83
6737 1688 88
6072 6865 98
1861 530 37
4385 7088 72
8203 1556 6
4500 7870 50
2296 8036 19
4105 8292 90
7897 3548 27
2461 1962 59
8587 6405 33
9775 1064 9
5691 8666 80
8889 5198 63
3804 1264 24
2765 17 70
5927 739 28
5671 2528 59
9638 1458 24
5266 4362 74
7505 2124 16
7121 183 41
3807 7032 75
4602 3075 23
9334 9840 22
1675 8518 11
6200 2033 66
954 8992 93
5525 7523 42
7384 3057 82
8384 3463 47
8303 48 10
255 33 82
5290 480 78
1453 3674 83
3503 7686 87
6401 7168 22
7488 4425 48
6835 6423 72
8282 4411 38
4698 4209 59
2302 8730 94
4719 1606 38
9683 1213 78
260 259 14
5690 6744 29
9736 3042 46
7724 4502 7
992 3280 97
368 4531 27
3113 7458 83
3250 5671 24
5208 6858 74
8741 9758 32
3426 805 86
7001 2503 52
9528 8003 10
7759 1930 78
1087 683 9
1056 3631 15
6854 9796 20
6473 4316 96
901 251 79
2600 511 44
688 102 55
8921 2108 45
1792 8601 50
7312 6209 18
7852 3188 28
9138 495 23
8202 487 48
809 8334 24
4060 2725 9
4228 3448 86
7988 2763 23
6055 3884 77
3424 88 90
9181 715 80
5499 4238 10
7644 5586 86
3386 3128 50
1037 4764 22
6830 6236 3
5823 5176 75
7476 941 66
8461 8822 27
5331 7093 98
5376 24 88
1014 1092 30
8058 2789 28
6766 9722 46
622 337 23
5099 7368 99
5699 6418 73
1230 6963 71
3311 5190 24
8509 2763 90
6562 3399 46
5823 2382 29
4942 1810 18
2928 3340 49
6607 4599 28
2206 8304 54
9661 7047 78
7907 4203 42
130 18 27
6827 4990 32
8093 4503 98
6386 3350 3
9195 5160 27
7058 4257 19
2602 1327 34
9138 971 28
2585 2191 100
8916 7962 56
4785 156 14
7713 3864 85
9467 48 57
2552 6770 16
1493 2841 18
7001 2905 53
8841 8422 22
543 468 53
4990 2367 4
6953 8955 72
6727 2686 96
995 715 1
6921 4066 39
9026 6529 96
2897 5921 3
259 5579 17
5402 5496 71
98 65 36
6585 1077 84
9261 4462 4
188 73 54
9085 1161 8
4182 1217 95
7844 708 86
3240 9157 49
3575 5169 21
5538 107 17
7301 524 78
9057 2577 23
4925 8156 12
9201 7479 14
2142 114 54
2028 3007 77
3465 93 88
3810 2871 64
9782 5248 60
5650 2480 64
5682 9525 17
1801 422 54
6724 96 49
8883 4154 12
5868 1580 68
4997 865 59
5874 5887 82
6640 342 70
5467 1045 57
4242 1278 47
7258 9531 1
889 9581 38
5054 1585 38
1336 2522 19
8495 3730 47
5550 8419 95
8505 4690 81
5815 4596 50
6285 5814 20
8545 3471 18
7403 5457 11
5676 927 67
1243 5820 67
8084 2689 11
6643 5801 98
1614 3539 61
8256 2700 34
2640 9071 25
5265 1109 87
6618 7180 54
1246 909 80
4223 1661 53
105 1095 86
1028 707 26
4735 3607 95
2526 9585 23
3268 876 83
9 6427 19
1855 282 53
8344 4674 99
127 6056 96
7648 4118 75
7295 4600 55
134 3492 20
9618 2584 37
567 1142 69
4531 8132 16
646 264 14
1350 6675 28
4936 8757 50
3100 2162 95
5678 2237 1
6444 4415 28
5446 5085 6
3422 206 50
7906 5292 48
2650 8286 55
2385 529 93
92 4858 11
7194 1053 86
693 483 56
9365 6313 76
4419 8854 14
4272 2034 83
4277 436 88
1561 2730 15
855 1382 7
1027 245 54
6113 2797 93
1964 819 93
4881 130 21
8257 6288 53
2622 1520 41
7193 1607 75
9464 7822 28
8328 1040 21
3832 3752 37
9772 7383 64
4303 6814 22
6792 48 78
7555 7403 75
4051 1706 20
6038 2281 9
4846 1401 46
4257 213 53
1803 1129 77
3422 3941 51
491 41 60
1828 1000 92
5257 5498 88
9140 7522 71
9152 645 23
406 8643 81
6715 1835 98
4718 8615 46
5335 8672 62
4539 5615 62
3173 5924 45
5644 3930 51
4649 5736 60
3718 8003 38
566 1872 1
8142 7814 5
8203 23 50
7861 597 51
361 80 87
5973 2011 89
6550 770 46
6898 2498 45
7963 7595 71
4848 3144 24
2406 29 42
9649 6934 49
600 2122 32
5079 6229 96
3593 9013 48
6134 2961 26
1066 995 66
1674 9970 4
5636 140 9
6373 2628 5
2310 3859 3
9296 429 58
5756 233 34
9748 1295 24
3289 457 82
7353 8756 43
8651 2147 46
6211 1321 97
1426 8080 14
7162 4980 18
2277 449 19
5297 6350 50
3527 2026 67
277 4840 11
1669 356 25
9634 7306 83
6649 764 80
1600 3842 39
6682 2695 74
4828 9674 67
9402 6578 52
4228 1434 68
6002 2089 33
1635 2477 5
256 8851 91
6497 6025 9
2727 2698 55
1812 1241 14
8762 611 100
2648 38 85
3949 1149 97
8809 1225 94
1421 4139 49
226 7070 23
8483 371 47
2315 2105 49
8715 171 41
5386 89 39
3369 9093 35
552 5017 70
1541 6513 10
7875 894 21
5380 8160 73
462 9222 5
1489 5016 77
7881 4229 9
8256 4528 90
2290 980 82
775 377 7
7571 6838 7
2058 1848 7
5860 2578 5
1143 169 48
4255 28 7
4166 2879 68
9609 5564 68
9151 8874 98
2567 1974 11
3440 539 62
9456 3067 47
219 187 15
1711 6335 10
1328 212 7
8515 3733 11
9937 9761 94
1101 536 100
8670 6895 41
7997 8779 55
6858 2647 34
4221 568 78
4459 8769 61
7704 1654 73
9211 5275 65
6401 2750 3
2401 8300 3
7274 9727 26
1471 125 14
5596 5384 3
8111 6941 87
2725 7254 55
646 3035 17
9835 3322 86
7847 5094 9
6496 1546 19
382 4871 79
9508 6030 100
5808 987 28
9442 2303 80
1721 9928 66
8006 58 68
3701 240 34
2663 1387 19
32 11 47
6764 9267 20
220 2719 17
8101 1712 32
7639 6815 68
8944 2747 61
1712 1608 63
2897 4457 58
1898 8841 79
7466 1425 44
95 22 51
7020 1889 66
6186 8813 22
8915 53 19
739 4760 75
52 38 86
4243 1616 47
1289 237 66
1909 262 10
216 131 54
362 258 83
6770 9421 9
6179 497 51
3027 4807 94
7508 1405 29
2640 2591 2
4498 8211 83
9747 4016 19
9891 335 41
1046 8406 40
9625 6782 86
3517 1060 91
5278 5191 41
9711 9626 40
969 122 30
4492 320 66
106 11 90
8250 3218 83
9965 3291 20
7320 414 7
6173 9338 24
933 4509 38
8114 2142 18
8593 6528 79
5382 3148 36
9536 5741 67
5735 2117 66
2452 3453 45
1227 670 31
9128 6545 7
3498 2772 2
2250 3902 48
1542 3158 56
2339 6188 80
1870 4681 61
2763 7806 41
1533 393 78
6973 2601 12
2114 2998 50
7442 8980 48
1243 3595 60
4313 3264 62
7786 6841 100
3992 4272 65
9584 2909 21
1987 9949 3
1634 6679 23
7473 7608 29
6748 9138 87
7334 2267 26
5501 8033 1
8253 9901 4
9354 1610 25
3658 1674 23
965 385 25
4430 1067 48
9947 8124 92
2816 5068 48
2821 3493 89
8195 1317 2
4511 7382 37
6733 5689 20
1880 3665 100
670 9961 4
4538 4475 12
5705 4375 50
2184 382 88
7909 9620 29
9832 5338 91
1819 6208 49
6642 3564 4
810 3014 19
7331 430 61
9731 5230 8
9430 628 6
2533 1520 54
4822 870 8
3915 1682 12
9859 8311 8
7261 9348 85
3782 8716 14
2189 4324 8
6314 8888 91
2819 4293 8
1683 7070 46
702 2890 41
1265 4385 3
4229 9083 11
8235 3257 53
7218 5752 19
1651 1459 99
943 7466 81
5869 3216 90
8762 6305 69
6781 2915 17
4480 4398 38
9140 8092 15
2131 7101 97
9495 7107 64
5619 4206 9
9697 3756 43
8618 6621 24
3868 2770 97
6519 4240 73
9889 7617 45
3122 90 37
5723 4262 66
5887 875 58
7680 5447 65
7978 3798 17
6053 2213 49
6531 5687 8
7278 571 82
5615 1301 75
1613 3330 45
7217 4450 72
2614 2580 97
1191 6804 17
9944 6774 19
1357 1095 94
9935 4214 39
6052 309 12
5815 4039 20
9719 1132 55
1021 3797 18
8033 709 64
7429 1692 68
3314 6197 82
259 1692 71
8870 1099 12
4093 2751 50
8535 1328 69
4903 7380 97
8206 1882 73
6482 8773 13
9677 2128 28
9322 6613 38
3372 5854 94
2976 2016 90
3589 5898 80
5588 2435 74
7398 3395 47
3551 4636 46
6899 6540 20
9331 4634 58
6973 6408 79
8681 5067 95
7084 6195 66
282 2177 17
8387 4435 58
2994 2385 99
7018 9926 45
1838 7139 66
2586 1669 2
3597 2019 15
5254 4720 85
9788 173 54
4024 1292 91
1124 3355 73
374 7377 58
8921 953 58
6910 8544 99
3842 1449 73
7970 19 93
6500 2906 99
7925 8375 67
9360 9535 48
2988 9276 73
6252 5921 67
5066 503 10
9343 6687 71
1308 1240 9
2488 1571 16
4129 2062 42
1935 1077 42
253 880 5
8121 8529 64
204 5417 34
2635 1180 47
5925 3968 32
3965 1552 69
7733 2801 12
4285 8211 37
8450 1061 89
6310 5905 15
9599 2068 78
8319 1297 3
5596 4651 21
3147 877 35
4967 2778 75
858 7480 86
7997 3949 10
1979 1510 86
7332 5797 27
9202 8788 84
7251 5808 10
4453 4605 20
6468 5283 92
1535 57 35
3469 4626 56
2442 162 21
9995 6856 92
4176 860 25
1693 1971 73
1567 1465 15
3133 526 15
3627 9245 19
2157 574 32
1674 208 39
211 46 40
9685 3391 78
5307 4022 64
948 7541 67
8503 7936 35
3402 3988 83
1943 1248 51
1564 559 54
1737 1071 93
5839 3164 8
5183 8209 35
4058 2779 44
2502 7665 14
9143 8954 77
4929 4756 28
7989 8442 47
7686 793 56
6001 51 53
3068 16 43
2745 1699 74
4327 3977 95
9954 2930 1
3264 4490 83
7862 3130 58
8912 2174 100
8441 6281 81
9687 560 47
673 8499 4
1621 748 99
5951 9036 34
5368 3261 16
8556 810 28
8046 2303 51
9885 6282 97
3444 2427 41
5685 1731 58
2788 4220 12
4075 8275 79
5844 2241 73
4359 4035 89
4132 8445 12
5960 2986 80
5456 3194 58
3707 414 52
728 5967 52
3612 9406 77
9677 4724 90
7710 6662 72
1375 6515 50
669 3283 25
3783 8271 54
2667 3658 53
9328 5021 71
7747 3331 1
7999 2901 25
6918 6958 73
9273 3574 84
7682 3932 13
7525 83 58
719 320 89
711 279 66
1052 3076 38
404 3119 18
8074 6431 60
2098 359 24
8335 8236 64
8092 760 53
1728 7649 43
2140 7899 99
3756 3492 59
4749 5581 34
6136 3759 74
9278 3741 13
369 5708 44
1326 3127 71
9965 5243 59
4148 2910 45
3588 8416 18
9747 1681 26
3379 3906 38
8752 3955 65
1157 1122 37
4939 2444 22
9379 9180 91
5907 7534 2
3175 2235 30
1731 1703 63
3910 5297 91
8327 9546 11
9734 1304 94
407 1768 64
8506 1584 88
3001 1674 29
1384 119 45
5207 4913 89
5036 9045 12
9748 3903 61
1333 7472 37
1026 5299 58
6493 1631 61
7404 7451 93
877 826 90
1200 7686 29
5491 81 24
7114 1748 12
6499 85 60
1040 378 16
7926 2756 48
8659 909 31
4815 4892 84
1059 5470 18
6209 1436 68
7009 1840 7
9108 5566 35
6597 3972 38
3498 289 25
9808 1946 14
5525 8371 80
5019 9503 93
3931 1948 45
5450 7470 59
1814 1389 67
1216 9881 22
4354 27 65
6225 6045 54
6596 7609 80
3691 74 53
2706 9227 80
3378 2581 86
1466 389 37
1927 156 72
7763 9822 78
447 93 64
4936 199 6
5931 9749 43
2011 1431 41
5304 509 30
3080 3210 30
8018 5487 8
4979 899 71
5777 5048 11
2964 2859 66
5591 5236 92
9513 6485 59
2254 418 83
3210 1870 96
2401 766 1
7726 7867 16
3612 3943 1
4692 3123 55
3802 370 13
6736 1743 57
8699 7024 39
3038 1462 15
10 8164 97
8465 1351 14
9646 796 26
9641 7173 48
2070 5774 16
5246 7109 50
2382 1333 53
6401 8086 3
7022 5160 47
1729 735 91
2050 5340 40
4456 1044 99
4491 8491 40
1989 7353 53
6563 693 96
5585 4816 17
3304 1874 40
8582 6496 11
4789 5451 78
9024 4795 59
5215 5682 88
4918 2121 70
8011 906 29
4371 4232 82
2309 980 12
6354 7882 62
3925 1192 84
9829 5606 66
8966 6679 66
1792 892 94
6802 6767 33
5846 728 28
7735 8624 5
7413 1869 67
7775 6393 18
7269 9053 82
8579 2525 11
7750 7074 53
5343 568 72
5093 1708 82
3452 3739 71
9679 8719 28
6283 5755 18
8234 5120 36
7620 2967 44
3283 500 13
8018 6664 34
700 6652 72
6228 1924 91
3814 1315 15
1931 336 91
9664 1516 100
3154 6696 35
6320 7737 19
5985 3849 18
5570 7322 24
9817 2938 59
7021 5905 68
5000 6464 85
1917 3230 5
8539 5948 32
2488 5420 17
5643 4380 70
9315 9157 36
3201 141 23
5050 2908 88
4047 6493 54
4580 5751 19
4181 6858 12
4321 5895 48
4349 657 68
2926 2130 2
3649 7554 100
3293 1337 88
2171 187 67
2091 3162 56
978 2496 53
4159 8989 2
7508 9318 77
5230 4749 1
749 5268 19
2092 8084 32
1281 404 80
5206 2266 41
2379 9964 9
8211 9512 74
1634 4162 83
4573 5280 48
1657 994 70
3353 8276 72
4167 1826 19
7492 2750 51
6426 5789 46
9477 6402 100
8174 7880 59
2956 6195 37
8570 5814 18
927 1807 43
6366 384 38
311 7090 60
1367 3964 64
1105 4276 37
749 7484 59
7902 6717 65
1419 1192 35
2018 23 35
7268 7662 96
354 8522 64
7043 9761 72
1873 3525 76
750 1674 41
7051 434 79
9431 6379 87
4693 7464 96
3964 1781 25
1893 5662 97
2850 1244 39
4807 2287 89
1324 3194 65
3765 6676 16
7884 5064 83
1987 94 18
7248 1293 41
7485 2613 30
7655 9398 4
6888 3376 64
1826 1565 77
7924 2756 88
9936 9990 3
2293 4523 76
3690 7596 8
5865 2504 56
4353 1458 3
4551 659 81
2891 8597 91
7037 7590 24
4054 3222 65
5957 6328 33
4902 6419 85
5540 9646 44
1678 1303 29
4274 1335 61
9984 6971 68
7635 6651 82
8967 7735 27
561 445 35
6845 1642 55
3600 4382 94
3808 1517 89
3495 1140 60
550 6028 39
7132 6080 32
5520 3814 10
1535 61 92
8957 2548 9
3922 2032 91
5052 5481 71
8311 7302 22
1315 5635 44
2923 2987 4
4856 1542 100
5133 760 19
3166 6602 18
1815 1821 6
9568 4208 71
3766 7492 50
9820 2410 56
2556 1961 8
1634 2506 15
3936 5631 47
2944 5550 30
2127 3309 3
3830 6061 45
1452 7387 85
5612 1545 31
1926 1714 61
2062 1598 70
1619 581 55
1468 2541 32
6945 209 7
7849 1860 39
7334 3139 100
8570 7970 87
2885 2246 27
3655 3604 23
9726 4421 47
1028 2724 18
9715 1331 42
6907 4477 45
8982 9970 11
2857 9550 75
3237 102 10
971 3100 16
2517 3097 20
9052 7684 58
5764 7202 32
759 252 2
4178 2000 23
7799 2669 22
9339 1742 9
1934 871 74
6808 8587 16
5091 4987 26
4636 5762 86
7679 5618 87
2995 681 80
2284 9375 70
1193 539 98
5931 4911 32
3481 2891 31
1657 3521 78
4677 9642 31
911 436 1
6797 4117 16
460 637 4
1610 1552 1
8532 5921 87
9157 9965 76
14 3872 8
9999 1652 7
7713 1839 51
8535 7625 33
8645 4432 98
286 5405 49
2416 2754 20
390 364 88
4886 8825 86
9835 7692 84
376 13 94
7898 9687 28
4059 589 91
364 8237 53
2681 2983 48
8338 9984 63
7498 7208 24
2053 3231 99
1253 7199 91
9629 3322 13
1563 5365 97
573 1061 47
9949 9121 31
4991 796 71
2859 4755 16
6249 1735 83
5745 4767 77
716 9641 97
270 6943 58
9313 6562 28
8460 2226 67
6074 8451 35
5596 7958 52
2616 542 25
7802 775 88
1041 113 64
6982 1218 9
3126 8133 28
3851 4998 34
3020 2091 67
7295 3139 99
4455 405 46
8307 2550 95
2118 5129 34
8811 7406 10
3780 3628 40
2762 620 77
4937 1371 69
1577 1177 76
8415 6255 89
3575 3506 54
6874 4298 87
3127 4468 2
5030 2193 42
159 2830 3
6016 380 77
7980 8721 1
1121 5803 12
8665 7360 36
4052 2859 13
2851 2707 55
226 802 17
1608 3884 68
2999 2129 50
5130 9855 49
1892 1750 17
2368 6992 47
7480 5604 82
103 8369 16
8981 9620 46
4772 3071 88
7779 2211 3
2231 697 12
2075 1147 77
1755 6356 27
9959 3977 69
1569 6501 25
6143 267 42
9101 3210 54
4202 1309 33
6397 406 1
8058 8982 2
1368 4879 29
3334 756 36
8922 4546 97
8013 1849 3
7326 8666 62
5642 3426 18
3742 1882 40
3395 101 78
1774 1008 75
4412 9390 90
4699 6019 92
3922 4271 88
1305 5071 44
5104 2611 70
8546 7588 71
4352 7499 43
6010 6142 62
8395 2739 78
8944 64 81
2318 4382 39
4635 6397 27
7621 1233 53
4720 4649 19
1461 8887 98
2912 1678 77
4619 2537 72
7014 8787 83
1887 6622 49
902 6960 59
8793 2143 88
289 128 22
9497 5490 75
2810 1100 35
3532 4892 50
4115 6076 28
2164 1249 43
4380 1799 32
2228 879 8
6685 6185 71
8459 8914 13
9221 4183 22
3525 801 37
8219 1311 8
4219 6294 8
6869 6648 32
1369 1195 89
3757 1248 53
2185 6888 1
4271 293 66
8014 48 19
9910 1521 44
2741 2581 31
3482 3204 78
5857 4067 21
8739 4893 94
2433 41 47
4772 4776 85
96 2627 40
1428 9977 43
5767 9491 31
5670 5575 28
7689 4750 41
337 2249 97
1221 258 44
6923 4664 92
9910 3185 83
5975 4255 17
978 5102 74
4335 2529 15
6177 5273 61
7079 6892 2
8439 3633 31
7361 4907 58
8366 2532 69
8559 8417 98
3098 9611 49
2991 8432 22
597 3204 90
9135 7138 81
6381 3183 77
7435 9089 30
255 6233 52
5811 5306 51
5473 5141 9
6622 1532 14
2091 447 29
4893 1548 37
1988 8038 54
9527 5131 84
3265 8497 15
4339 3509 90
3891 1988 86
1985 902 58
7526 1383 88
3782 2111 43
8252 3526 54
5726 1385 86
7668 5093 89
2077 1399 21
1105 277 70
8269 6822 47
1947 9122 20
6650 5137 14
6544 7457 97
53 13 47
558 6333 48
3797 2444 69
8287 9021 80
6315 8619 35
4750 7590 15
5292 2600 66
7138 3845 55
8138 7019 46
6059 7985 96
3717 819 21
814 8585 95
885 2878 53
1982 1745 30
9855 895 98
2233 121 85
3565 6689 44
1928 532 52
5275 815 26
140 62 24
2077 1668 62
7112 6216 45
2884 7035 92
5913 3382 99
9443 6025 87
7512 7193 89
953 1023 52
1288 4319 100
4496 7950 89
4169 9214 38
1419 4446 89
986 6079 53
3064 220 33
971 7726 90
6262 2313 97
7072 8191 36
61 56 77
8767 6175 81
5136 6861 32
2787 4406 39
6360 6804 52
5016 866 88
4756 9174 31
4211 316 62
9530 6484 18
3807 9738 98
6957 2978 12
4539 9566 85
4926 3551 67
5322 2330 74
1876 8122 26
1534 2660 16
6392 4743 48
3586 428 48
7446 3491 70
303 73 12
6258 597 73
6323 6142 96
6275 2618 66
6478 61 52
4387 3642 46
6113 8023 85
2369 530 49
9757 8787 67
6027 9144 30
3561 2594 8
9256 1745 30
3016 2461 76
4834 758 74
3274 4804 85
1881 7443 76
2499 6878 77
3068 8104 8
3652 2147 44
8687 2870 27
4749 544 43
7859 1932 29
6454 4055 3
8560 2611 77
4989 2814 14
2669 1201 61
7671 4919 75
2398 254 41
8242 2798 55
5436 795 46
2413 1069 99
6220 509 72
1203 5849 36
4014 2327 16
7698 7718 21
3763 247 49
1194 587 42
6190 5752 29
9391 3786 76
1211 8688 93
6040 3243 88
5437 5097 100
8363 3019 85
7126 4572 34
3884 6395 9
1428 3333 30
783 531 16
1291 1094 86
9159 7346 76
3766 8482 47
7375 3271 64
8880 1793 11
6294 9367 21
132 5953 38
5187 8497 10
4297 396 18
980 722 94
1313 9020 43
7927 6454 2
6300 9759 7
1684 1670 34
9976 9511 28
8648 4925 5
7437 3098 8
4173 4783 28
604 6103 30
5488 8887 17
855 6412 17
1786 8770 66
9447 55 67
4848 221 12
9764 9428 70
135 112 36
3111 5118 79
6275 4878 54
4540 2340 34
4612 9298 69
2929 4345 70
5511 345 18
8998 7344 21
4742 1075 93
785 488 100
3049 2821 10
4657 5699 94
8655 3889 4
5015 4425 39
5230 1296 29
4734 7727 9
7193 6729 33
4995 3283 84
5941 9907 66
5550 708 27
9269 2169 96
1694 811 9
8404 9549 14
191 12 5
8831 6539 97
1835 689 10
7181 9567 88
9260 1210 55
6461 5624 70
6172 2999 20
1570 7014 77
3459 11 52
3707 1284 66
3736 7115 47
7499 7851 23
1608 654 1
8808 7184 50
527 3016 70
9240 132 10
9186 7660 85
7234 8022 10
7047 1817 79
5966 4763 96
1127 5487 71
5728 9539 49
7638 1056 20
551 500 56
3386 9105 6
1708 6 74
9547 5299 43
8835 9496 5
4585 4277 97
2993 6531 82
8652 7291 96
6912 7860 97
9303 4558 60
8650 1086 44
5153 7283 69
9360 9059 94
8986 5171 96
1909 464 45
5454 2771 100
5744 2310 4
8886 7352 48
8479 3456 98
5182 2190 15
7952 3656 71
3187 9303 91
2926 3207 39
500 142 48
2764 1264 78
3282 6832 74
9710 279 63
9110 2454 94
4313 3014 46
3200 9307 1
6421 5104 24
5897 1160 19
4912 247 47
6340 2738 21
6989 4289 27
1690 1633 17
7269 7268 67
8012 6469 85
5003 7788 1
7399 9330 69
498 50 56
4608 8286 80
4109 317 78
2220 7042 89
8790 3866 23
6127 1058 23
335 2199 14
2422 316 58
889 596 63
2338 1858 46
2734 2725 20
1348 7342 74
4820 734 58
9682 2938 98
7435 1189 22
8247 482 55
5262 9597 83
3844 151 3
7334 3770 96
8458 5781 93
126 857 24
1824 5985 18
3010 9618 61
9612 1259 7
7534 6691 87
7970 3822 62
1249 7929 76
3188 6993 53
5326 32 15
2456 4393 76
374 30 41
183 1808 62
4480 3325 23
9699 1724 44
1381 475 81
6768 1818 68
6334 4415 29
9286 2630 2
2775 2281 19
3410 8827 9
171 2760 9
3887 324 19
87 67 47
9048 4726 94
1926 6217 94
2969 9482 62
4087 2308 21
2231 9199 29
7241 4697 62
3227 7372 2
4922 1172 95
233 85 70
791 1934 84
8214 6167 82
2114 9588 99
4174 5256 57
762 9612 9
7413 1633 74
7921 976 82
8746 1730 9
4456 414 78
9406 3463 56
683 9044 85
2096 1058 17
6914 1047 36
911 9353 62
6210 2656 82
7007 4550 21
8748 4395 69
6615 2814 81
8052 624 3
9947 3068 49
6351 4690 90
2978 7889 52
7641 5293 10
7982 7936 71
2471 6233 20
7723 417 99
4439 2530 39
2149 1550 100
4804 4543 77
7694 3779 38
7375 3365 41
9010 1970 39
2050 22 81
4426 3 93
7857 801 76
2801 1985 3
3854 1241 86
7476 9409 70
3795 642 53
892 88 38
468 3950 43
8706 6118 67
2093 8478 96
631 4402 51
5722 2850 88
8534 840 97
6516 1430 98
5728 1811 98
3162 2255 77
4820 2373 1
6469 514 45
9986 8233 41
6953 5078 4
8674 8402 79
4114 5139 65
626 32 55
2219 2032 50
5239 4557 30
7323 6394 15
1255 312 82
8964 424 69
9645 4281 66
8440 3843 27
564 7198 77
5186 32 46
9156 4080 38
4126 2666 33
7663 4706 71
4977 3251 10
4025 1977 85
7641 9448 92
2217 7148 83
462 47 32
8142 110 81
176 1512 63
8676 1633 67
5636 9534 22
1648 8222 26
5869 2742 34
4684 9737 15
689 3256 22
716 2871 83
1672 5207 98
5407 1901 76
6535 5903 26
6655 9672 34
4274 86 1
2081 615 68
8945 9772 52
790 3496 38
384 7727 80
5302 3465 41
8266 5293 85
2655 2003 42
6947 5999 80
3119 1128 88
268 77 58
6358 2102 30
776 7630 79
4767 2472 14
3516 667 61
3247 9807 10
8011 7238 16
203 2197 95
5626 3368 92
9205 7362 46
162 121 15
240 1439 2
536 9433 98
3717 5045 2
7088 9096 61
76 68 70
2728 2771 99
789 438 40
4781 7338 9
